game_pk,game_type,season,team_id,opp_team_id,home_away,game_date1,game_date2,status_code,game_number,scheduled_innings,score,opp_score,game_date,season_number,games_remaining,rs,ra,wins,losses,innings_played
631182,R,2020,188,166,away,2020-07-25 02:10:00+00:00,,F,1,9,3.0,7.0,2020-07-25 02:10:00+00:00,1.0,59.0,3.0,7.0,0.0,1.0,10.0
631181,R,2020,188,166,away,2020-07-25 20:10:00+00:00,,F,1,9,4.0,1.0,2020-07-25 20:10:00+00:00,2.0,58.0,7.0,8.0,1.0,1.0,9.0
631165,R,2020,188,166,away,2020-07-26 20:10:00+00:00,,F,1,9,4.0,6.0,2020-07-26 20:10:00+00:00,3.0,57.0,11.0,14.0,1.0,2.0,9.0
631168,R,2020,188,166,away,2020-07-27 19:40:00+00:00,,F,1,9,0.0,3.0,2020-07-27 19:40:00+00:00,4.0,56.0,11.0,17.0,1.0,3.0,9.0
631387,R,2020,188,169,home,2020-07-29 01:40:00+00:00,,F,1,9,10.0,2.0,2020-07-29 01:40:00+00:00,5.0,55.0,21.0,19.0,2.0,3.0,9.0
631389,R,2020,188,169,home,2020-07-30 02:10:00+00:00,,F,1,9,7.0,10.0,2020-07-30 02:10:00+00:00,6.0,54.0,28.0,29.0,2.0,4.0,9.0
631390,R,2020,188,169,home,2020-07-31 01:40:00+00:00,,F,1,9,5.0,8.0,2020-07-31 01:40:00+00:00,7.0,53.0,33.0,37.0,2.0,5.0,9.0
631391,R,2020,188,178,home,2020-08-01 01:10:00+00:00,,F,1,9,6.0,9.0,2020-08-01 01:10:00+00:00,8.0,52.0,39.0,46.0,2.0,6.0,9.0
631392,R,2020,188,178,home,2020-08-01 23:07:00+00:00,,F,1,9,5.0,4.0,2020-08-01 23:07:00+00:00,9.0,51.0,44.0,50.0,3.0,6.0,10.0
631393,R,2020,188,178,home,2020-08-02 20:10:00+00:00,,F,1,9,5.0,6.0,2020-08-02 20:10:00+00:00,10.0,50.0,49.0,56.0,3.0,7.0,11.0
631057,R,2020,188,169,away,2020-08-05 02:10:00+00:00,,F,1,9,5.0,3.0,2020-08-05 02:10:00+00:00,11.0,49.0,54.0,59.0,4.0,7.0,9.0
631043,R,2020,188,169,away,2020-08-06 01:40:00+00:00,,F,1,9,6.0,7.0,2020-08-06 01:40:00+00:00,12.0,48.0,60.0,66.0,4.0,8.0,9.0
631042,R,2020,188,169,away,2020-08-06 20:10:00+00:00,,F,1,9,6.0,1.0,2020-08-06 20:10:00+00:00,13.0,47.0,66.0,67.0,5.0,8.0,9.0
630920,R,2020,188,160,away,2020-08-08 01:05:00+00:00,,I,1,9,,,2020-08-08 01:05:00+00:00,,,,,,,4.0
630935,R,2020,188,160,away,2020-08-08 23:05:00+00:00,,S,1,9,,,2020-08-08 23:05:00+00:00,,,,,,,
630922,R,2020,188,160,away,2020-08-09 18:35:00+00:00,,S,1,9,,,2020-08-09 18:35:00+00:00,,,,,,,
631395,R,2020,188,166,home,2020-08-11 01:40:00+00:00,,S,1,9,,,2020-08-11 01:40:00+00:00,,,,,,,
631396,R,2020,188,166,home,2020-08-12 01:40:00+00:00,,S,1,9,,,2020-08-12 01:40:00+00:00,,,,,,,
631397,R,2020,188,166,home,2020-08-12 20:10:00+00:00,,S,1,9,,,2020-08-12 20:10:00+00:00,,,,,,,
631381,R,2020,188,179,home,2020-08-15 01:40:00+00:00,,S,1,9,,,2020-08-15 01:40:00+00:00,,,,,,,
631363,R,2020,188,179,home,2020-08-16 01:40:00+00:00,,S,1,9,,,2020-08-16 01:40:00+00:00,,,,,,,
631364,R,2020,188,179,home,2020-08-16 20:10:00+00:00,,S,1,9,,,2020-08-16 20:10:00+00:00,,,,,,,
631365,R,2020,188,184,home,2020-08-18 01:40:00+00:00,,S,1,9,,,2020-08-18 01:40:00+00:00,,,,,,,
631366,R,2020,188,184,home,2020-08-18 20:10:00+00:00,,S,1,9,,,2020-08-18 20:10:00+00:00,,,,,,,
631025,R,2020,188,184,away,2020-08-20 01:45:00+00:00,,S,1,9,,,2020-08-20 01:45:00+00:00,,,,,,,
631026,R,2020,188,184,away,2020-08-21 01:45:00+00:00,,S,1,9,,,2020-08-21 01:45:00+00:00,,,,,,,
631186,R,2020,188,166,away,2020-08-22 01:40:00+00:00,,S,1,9,,,2020-08-22 01:40:00+00:00,,,,,,,
631154,R,2020,188,166,away,2020-08-22 20:10:00+00:00,,S,1,9,,,2020-08-22 20:10:00+00:00,,,,,,,
631170,R,2020,188,166,away,2020-08-23 20:10:00+00:00,,S,1,9,,,2020-08-23 20:10:00+00:00,,,,,,,
631439,R,2020,188,178,away,2020-08-25 01:10:00+00:00,,S,1,9,,,2020-08-25 01:10:00+00:00,,,,,,,
631423,R,2020,188,178,away,2020-08-26 01:10:00+00:00,,S,1,9,,,2020-08-26 01:10:00+00:00,,,,,,,
631440,R,2020,188,178,away,2020-08-27 01:10:00+00:00,,S,1,9,,,2020-08-27 01:10:00+00:00,,,,,,,
631426,R,2020,188,178,away,2020-08-27 19:10:00+00:00,,S,1,9,,,2020-08-27 19:10:00+00:00,,,,,,,
631394,R,2020,188,169,home,2020-08-29 01:40:00+00:00,,S,1,9,,,2020-08-29 01:40:00+00:00,,,,,,,
631369,R,2020,188,169,home,2020-08-30 01:40:00+00:00,,S,1,9,,,2020-08-30 01:40:00+00:00,,,,,,,
631371,R,2020,188,169,home,2020-08-30 20:10:00+00:00,,S,1,9,,,2020-08-30 20:10:00+00:00,,,,,,,
631374,R,2020,188,169,home,2020-08-31 20:10:00+00:00,,S,1,9,,,2020-08-31 20:10:00+00:00,,,,,,,
631379,R,2020,188,168,home,2020-09-03 01:40:00+00:00,,S,1,9,,,2020-09-03 01:40:00+00:00,,,,,,,
631368,R,2020,188,168,home,2020-09-03 23:10:00+00:00,,S,1,9,,,2020-09-03 23:10:00+00:00,,,,,,,
631357,R,2020,188,178,home,2020-09-05 01:10:00+00:00,,S,1,9,,,2020-09-05 01:10:00+00:00,,,,,,,
631388,R,2020,188,178,home,2020-09-06 01:10:00+00:00,,S,1,9,,,2020-09-06 01:10:00+00:00,,,,,,,
