game_pk,game_type,season,game_date,game_date1,game_date2,game_number,scheduled_innings,innings_played,status_code,home_team,away_team,home_score,away_score
630099,R,2020,2020-08-27 01:40:00+00:00,2020-08-27 01:40:00+00:00,,1,9,,S,183.0,172.0,,
630100,R,2020,2020-08-02 00:10:00+00:00,2020-08-02 00:10:00+00:00,,1,9,9.0,F,183.0,179.0,2.0,11.0
630101,R,2020,2020-08-02 20:10:00+00:00,2020-08-02 20:10:00+00:00,,1,9,9.0,F,183.0,179.0,0.0,3.0
630109,R,2020,2020-08-05 01:10:00+00:00,2020-08-05 01:10:00+00:00,,1,9,9.0,F,183.0,178.0,2.0,8.0
630110,R,2020,2020-08-06 01:10:00+00:00,2020-08-06 01:10:00+00:00,,1,9,9.0,F,183.0,178.0,14.0,7.0
630111,R,2020,2020-08-06 23:07:00+00:00,2020-08-06 23:07:00+00:00,,1,9,9.0,F,183.0,178.0,5.0,4.0
630115,R,2020,2020-08-15 01:40:00+00:00,2020-08-15 01:40:00+00:00,,1,9,,S,183.0,168.0,,
630116,R,2020,2020-08-16 00:10:00+00:00,2020-08-16 00:10:00+00:00,,1,9,,S,183.0,168.0,,
630117,R,2020,2020-08-16 20:10:00+00:00,2020-08-16 20:10:00+00:00,,1,9,,S,183.0,168.0,,
630118,R,2020,2020-08-18 01:40:00+00:00,2020-08-18 01:40:00+00:00,,1,9,,S,183.0,166.0,,
630145,R,2020,2020-07-31 01:40:00+00:00,2020-07-31 01:40:00+00:00,,1,9,9.0,F,183.0,179.0,3.0,6.0
630174,R,2020,2020-08-18 22:10:00+00:00,2020-08-18 22:10:00+00:00,,1,9,,S,183.0,166.0,,
630193,R,2020,2020-08-25 01:40:00+00:00,2020-08-25 01:40:00+00:00,,1,9,,S,183.0,172.0,,
630194,R,2020,2020-08-26 01:40:00+00:00,2020-08-26 01:40:00+00:00,,1,9,,S,183.0,172.0,,
630201,R,2020,2020-08-01 01:40:00+00:00,2020-08-01 01:40:00+00:00,,1,9,9.0,F,183.0,179.0,5.0,3.0
630202,R,2020,2020-09-27 19:10:00+00:00,2020-09-27 19:10:00+00:00,,1,9,,S,183.0,172.0,,
630203,R,2020,2020-08-27 22:10:00+00:00,2020-08-27 22:10:00+00:00,,1,9,,S,183.0,172.0,,
630216,R,2020,2020-08-29 01:40:00+00:00,2020-08-29 01:40:00+00:00,,1,9,,S,183.0,184.0,,
630217,R,2020,2020-08-30 00:10:00+00:00,2020-08-30 00:10:00+00:00,,1,9,,S,183.0,184.0,,
630219,R,2020,2020-08-30 20:10:00+00:00,2020-08-30 20:10:00+00:00,,1,9,,S,183.0,184.0,,
630220,R,2020,2020-09-09 01:40:00+00:00,2020-09-09 01:40:00+00:00,,1,9,,S,183.0,179.0,,
630221,R,2020,2020-09-10 01:40:00+00:00,2020-09-10 01:40:00+00:00,,1,9,,S,183.0,179.0,,
630223,R,2020,2020-09-11 01:40:00+00:00,2020-09-11 01:40:00+00:00,,1,9,,S,183.0,179.0,,
630224,R,2020,2020-09-12 01:40:00+00:00,2020-09-12 01:40:00+00:00,,1,9,,S,183.0,169.0,,
630225,R,2020,2020-09-13 00:10:00+00:00,2020-09-13 00:10:00+00:00,,1,9,,S,183.0,169.0,,
630226,R,2020,2020-09-13 20:10:00+00:00,2020-09-13 20:10:00+00:00,,1,9,,S,183.0,169.0,,
630243,R,2020,2020-09-23 01:10:00+00:00,2020-09-23 01:10:00+00:00,,1,9,,S,183.0,160.0,,
630263,R,2020,2020-09-23 22:10:00+00:00,2020-09-23 22:10:00+00:00,,1,9,,S,183.0,160.0,,
630270,R,2020,2020-09-26 01:40:00+00:00,2020-09-26 01:40:00+00:00,,1,9,,S,183.0,172.0,,
630271,R,2020,2020-09-27 00:10:00+00:00,2020-09-27 00:10:00+00:00,,1,9,,S,183.0,172.0,,
630272,R,2020,2020-07-29 23:10:00+00:00,2020-07-29 23:10:00+00:00,,1,9,9.0,F,164.0,181.0,7.0,4.0
630273,R,2020,2020-08-23 23:08:00+00:00,2020-08-23 23:08:00+00:00,,1,9,,S,164.0,186.0,,
630275,R,2020,2020-07-31 23:10:00+00:00,2020-07-31 23:10:00+00:00,,1,9,9.0,F,164.0,175.0,11.0,10.0
